player_name,jersey_number,age,country,club,position
Filip Jörgensen,,24.0,Denmark,Chelsea,Goalkeeper
Mike Penders,,21.0,Belgium,Chelsea,Goalkeeper
Robert Lynch Sánchez,,28.0,Spain,Chelsea,Goalkeeper
Cole Palmer,,24.0,England,Chelsea,Midfielder
Dário Luís Essugo,,21.0,Portugal,Chelsea,Midfielder
Enzo Fernández,,25.0,Argentina,Chelsea,Midfielder
Estêvão Almeida de Oliveira Gonçalves,,19.0,Brazil,Chelsea,Midfielder
Geovany Quenda,,19.0,Portugal,Chelsea,Midfielder
Jamie Bynoe-Gittens,,22.0,England,Chelsea,Midfielder
Jordan Henderson,,36.0,England,Chelsea,Midfielder
Moisés Caicedo Corozo,,24.0,Ecuador,Chelsea,Midfielder
Morgan Rogers,,24.0,England,Chelsea,Midfielder
Mykhailo Mudryk,,25.0,Ukraine,Chelsea,Midfielder
Pedro Lomba Neto,,26.0,Portugal,Chelsea,Midfielder
Roméo Lavia,,22.0,Belgium,Chelsea,Midfielder
Valentín Barco,,22.0,Argentina,Chelsea,Midfielder
Aurèle Amenda,,23.0,Switzerland,Coventry City,Defender
Bobby Thomas,,25.0,England,Coventry City,Defender
Jake Bidwell,,33.0,England,Coventry City,Defender
Jay Dasilva,,28.0,Wales,Coventry City,Defender
Joel Latibeaudiere,,26.0,Jamaica,Coventry City,Defender
Kaine Kesler-Hayden,,23.0,England,Coventry City,Defender
Liam Kitching,,26.0,England,Coventry City,Defender
Luke Woolfenden,,27.0,England,Coventry City,Defender
Miguel Brau,,24.0,Spain,Coventry City,Defender
Milan van Ewijk,,25.0,Netherlands,Coventry City,Defender
Brandon Thomas-Asante,,27.0,Ghana,Coventry City,Forward
Ellis Simms,,25.0,England,Coventry City,Forward
Haji Wright,,28.0,USA,Coventry City,Forward
Jahnoah Markelo,,23.0,Suriname,Coventry City,Forward
Norman Bassette,,,,Coventry City,Forward
Sidiki Cherif,,19.0,France,Coventry City,Forward
Taiwo Awoniyi,,29.0,Nigeria,Coventry City,Forward
Ben Wilson,,34.0,England,Coventry City,Goalkeeper
Carl Rushworth,,25.0,England,Coventry City,Goalkeeper
Oliver Dovin,,24.0,Sweden,Coventry City,Goalkeeper
Caleb Yirenkyi,,20.0,Ghana,Coventry City,Midfielder
Ephron Mason-Clark,,26.0,Jamaica,Coventry City,Midfielder
Frank Onyeka,,28.0,Nigeria,Coventry City,Midfielder
George Shepherd,,,,Coventry City,Midfielder
Gustavo Hamer,,29.0,Netherlands,Coventry City,Midfielder
Jack Rudoni,,25.0,England,Coventry City,Midfielder
Josh Eccles,,26.0,England,Coventry City,Midfielder
Kaine Andrews,,20.0,Wales,Coventry City,Midfielder
Loum Tchaouna,,22.0,France,Coventry City,Midfielder
Matt Grimes,,31.0,England,Coventry City,Midfielder
Raphael Borges Rodrigues,,22.0,Australia,Coventry City,Midfielder
Tatsuhiro Sakamoto,,29.0,Japan,Coventry City,Midfielder
Victor Torp,,27.0,Denmark,Coventry City,Midfielder
Anan Khalaili,,21.0,Israel,Crystal Palace,Defender
Borna Sosa,,28.0,Croatia,Crystal Palace,Defender
Chadi Riad Dnanou,,23.0,Morocco,Crystal Palace,Defender
Chris Richards,,26.0,USA,Crystal Palace,Defender
Daniel Muñoz Mejía,,30.0,Colombia,Crystal Palace,Defender
Jaydee Canvot,,20.0,France,Crystal Palace,Defender
Oscar Mingueza,,27.0,Spain,Crystal Palace,Defender
Rio Cardines,,20.0,Trinidad and Tobago,Crystal Palace,Defender
Takehiro Tomiyasu,,27.0,Japan,Crystal Palace,Defender
Tyrick Mitchell,,26.0,England,Crystal Palace,Defender
Christantus Uche,,,,Crystal Palace,Forward
Eddie Nketiah,,27.0,England,Crystal Palace,Forward
Jean-Philippe Mateta,,29.0,France,Crystal Palace,Forward
Jørgen Strand Larsen,,26.0,Norway,Crystal Palace,Forward
Dean Henderson,,29.0,England,Crystal Palace,Goalkeeper
Remi Matthews,,32.0,England,Crystal Palace,Goalkeeper
Walter Benítez,,33.0,Argentina,Crystal Palace,Goalkeeper
Adam Wharton,,22.0,England,Crystal Palace,Midfielder
Cheick Doucouré,,26.0,Mali,Crystal Palace,Midfielder
Daichi Kamada,,30.0,Japan,Crystal Palace,Midfielder
Dwight McNeil,,26.0,England,Crystal Palace,Midfielder
Evann Guessand,,25.0,Ivory Coast,Crystal Palace,Midfielder
Ismaïla Sarr,,28.0,Senegal,Crystal Palace,Midfielder
Jefferson Lerma Solís,,31.0,Colombia,Crystal Palace,Midfielder
Jesurun Rak-Sakyi,,23.0,Ghana,Crystal Palace,Midfielder
Joél Drakes-Thomas,,17.0,England,Crystal Palace,Midfielder
Justin Devenny,,22.0,Northern Ireland,Crystal Palace,Midfielder
Matheus França de Oliveira,,22.0,Brazil,Crystal Palace,Midfielder
Romain Esse,,21.0,England,Crystal Palace,Midfielder
Will Hughes,,31.0,England,Crystal Palace,Midfielder
Yéremy Pino Santos,,23.0,Spain,Crystal Palace,Midfielder
Zavier Gozo,,19.0,USA,Crystal Palace,Midfielder
Adam Aznou,,20.0,Morocco,Everton,Defender
Jake O'Brien,,25.0,Ireland,Everton,Defender
James Tarkowski,,33.0,England,Everton,Defender
Jarrad Branthwaite,,24.0,England,Everton,Defender
Michael Keane,,33.0,England,Everton,Defender
Nathan Patterson,,24.0,Scotland,Everton,Defender
Vitalii Mykolenko,,27.0,Ukraine,Everton,Defender
Norberto Bercique Gomes Betuncal,,28.0,Guinea-Bissau,Everton,Forward
Thierno Barry,,23.0,France,Everton,Forward
Jordan Pickford,,32.0,England,Everton,Goalkeeper
Mark Travers,,27.0,Ireland,Everton,Goalkeeper
Tom King,,31.0,Wales,Everton,Goalkeeper
Brennan Johnson,,25.0,Wales,Everton,Midfielder
Carlos Alcaraz Durán,,23.0,Argentina,Everton,Midfielder
Christian Nørgaard,,32.0,Denmark,Everton,Midfielder
Harrison Armstrong,,19.0,England,Everton,Midfielder
Hayden Hackney,,24.0,England,Everton,Midfielder
Iliman Ndiaye,,26.0,Senegal,Everton,Midfielder
James Garner,,25.0,England,Everton,Midfielder
Kiernan Dewsbury-Hall,,27.0,England,Everton,Midfielder
Merlin Röhl,,24.0,Germany,Everton,Midfielder
Tim Iroegbunam,,23.0,England,Everton,Midfielder
Tyler Dibling,,20.0,England,Everton,Midfielder
Tyrique George,,20.0,England,Everton,Midfielder
Antonee Robinson,,29.0,USA,Fulham,Defender
Calvin Bassey,,26.0,Nigeria,Fulham,Defender
Joachim Andersen,,30.0,Denmark,Fulham,Defender
Jorge Cuenca Barreno,,26.0,Spain,Fulham,Defender
Kenny Tete,,30.0,Netherlands,Fulham,Defender
Ryan Sessegnon,,26.0,England,Fulham,Defender
Timothy Castagne,,30.0,Belgium,Fulham,Defender
Gonzalo García,,22.0,Spain,Fulham,Forward
Jonah Kusi-Asare,,19.0,Sweden,Fulham,Forward
Rodrigo Muniz Carvalho,,25.0,Brazil,Fulham,Forward
Alfie McNally,,,,Fulham,Goalkeeper
Benjamin Lecomte,,35.0,France,Fulham,Goalkeeper
Bernd Leno,,34.0,Germany,Fulham,Goalkeeper
Alex Iwobi,,30.0,Nigeria,Fulham,Midfielder
César Palacios,,21.0,Spain,Fulham,Midfielder
Emile Smith Rowe,,26.0,England,Fulham,Midfielder
Harrison Reed,,31.0,England,Fulham,Midfielder
Josh King,,19.0,England,Fulham,Midfielder
Kevin Santos Lopes de Macedo,,23.0,Brazil,Fulham,Midfielder
Oscar Bobb,,23.0,Norway,Fulham,Midfielder
Sander Berge,,28.0,Norway,Fulham,Midfielder
Shea Charles,,22.0,Northern Ireland,Fulham,Midfielder
Tom Cairney,,35.0,Scotland,Fulham,Midfielder
Cathal McCarthy,,,,Hull City,Defender
Charlie Hughes,,22.0,England,Hull City,Defender
Cody Drameh,,24.0,England,Hull City,Defender
John Egan,,33.0,Ireland,Hull City,Defender
Lewie Coyle,,30.0,England,Hull City,Defender
Lucas Herrington,,18.0,Australia,Hull City,Defender
Matt Targett,,30.0,England,Hull City,Defender
Matty Jacob,,25.0,England,Hull City,Defender
Nobel Mendy,,21.0,Senegal,Hull City,Defender
Paddy McNair,,31.0,Northern Ireland,Hull City,Defender
Ryan Giles,,26.0,England,Hull City,Defender
Semi Ajayi,,32.0,Nigeria,Hull City,Defender
Enis Destan,,24.0,Turkey,Hull City,Forward
Mason Burstow,,23.0,England,Hull City,Forward
Oli McBurnie,,30.0,Scotland,Hull City,Forward
Dillon Phillips,,31.0,England,Hull City,Goalkeeper
Harvey Cartwright,,24.0,England,Hull City,Goalkeeper
Jack Butland,,33.0,England,Hull City,Goalkeeper
Konstantinos Tzolakis,,23.0,Greece,Hull City,Goalkeeper
Thimothée Lo-Tutala,,23.0,France,Hull City,Goalkeeper
Abdülkadir Ömür,,27.0,Turkey,Hull City,Midfielder
Abu Kamara,,23.0,England,Hull City,Midfielder
Darko Gyabi,,22.0,England,Hull City,Midfielder
David Akintola,,30.0,Nigeria,Hull City,Midfielder
Eliot Matazo,,24.0,Belgium,Hull City,Midfielder
Elliot Stroud,,24.0,Sweden,Hull City,Midfielder
Hidemasa Morita,,31.0,Japan,Hull City,Midfielder
Jens Hjertø-Dahl,,20.0,Norway,Hull City,Midfielder
Joe Gelhardt,,24.0,England,Hull City,Midfielder
Kieran Dowell,,28.0,England,Hull City,Midfielder
Liam Millar,,26.0,Canada,Hull City,Midfielder
Lucas Gourna-Douath,,23.0,France,Hull City,Midfielder
Matt Crooks,,32.0,England,Hull City,Midfielder
Mohamed Belloumi,,24.0,Algeria,Hull City,Midfielder
Regan Slater,,26.0,England,Hull City,Midfielder
Óscar Zambrano,,22.0,Ecuador,Hull City,Midfielder
Abdoul Ouattara,,20.0,Ivory Coast,Ipswich Town,Defender
Ben Johnson,,26.0,England,Ipswich Town,Defender
Cédric Kipré,,29.0,Ivory Coast,Ipswich Town,Defender
Dara O'Shea,,27.0,Ireland,Ipswich Town,Defender
Darnell Furlong,,30.0,England,Ipswich Town,Defender
Issa Diop,,29.0,Morocco,Ipswich Town,Defender
Jacob Greaves,,25.0,England,Ipswich Town,Defender
Leif Davis,,26.0,England,Ipswich Town,Defender
Ali Al-Hamadi,,24.0,Iraq,Ipswich Town,Forward
Chuba Akpom,,30.0,England,Ipswich Town,Forward
Emersonn Correia da Silva,,22.0,Brazil,Ipswich Town,Forward
George Hirst,,27.0,Scotland,Ipswich Town,Forward
Sindre Walle Egeli,,20.0,Norway,Ipswich Town,Forward
Alex Palmer,,30.0,England,Ipswich Town,Goalkeeper
Christian Walton,,30.0,England,Ipswich Town,Goalkeeper
David Button,,37.0,England,Ipswich Town,Goalkeeper
Kayne van Oevelen,,23.0,Netherlands,Ipswich Town,Goalkeeper
Kjell Scherpen,,26.0,Netherlands,Ipswich Town,Goalkeeper
Abdul Fatawu,,22.0,Ghana,Ipswich Town,Midfielder
Anis Mehmeti,,25.0,Albania,Ipswich Town,Midfielder
Azor Matusiwa,,28.0,Netherlands,Ipswich Town,Midfielder
Chiedozie Ogbene,,29.0,Ireland,Ipswich Town,Midfielder
Daizen Maeda,,28.0,Japan,Ipswich Town,Midfielder
Florentino Ibrain Morris Luís,,27.0,Portugal,Ipswich Town,Midfielder
Jack Clarke,,25.0,England,Ipswich Town,Midfielder
Jack Taylor,,28.0,Ireland,Ipswich Town,Midfielder
Jaden Philogene,,24.0,England,Ipswich Town,Midfielder
Julio Enciso,,22.0,Paraguay,Ipswich Town,Midfielder
Kasey McAteer,,24.0,Ireland,Ipswich Town,Midfielder
Marcelino Núñez,,26.0,Chile,Ipswich Town,Midfielder
Sam Szmodics,,30.0,Ireland,Ipswich Town,Midfielder
Saša Lukić,,30.0,Serbia,Ipswich Town,Midfielder
Wes Burns,,31.0,Wales,Ipswich Town,Midfielder
Gabriel Gudmundsson,,27.0,Sweden,Leeds,Defender
Jaka Bijol,,27.0,Slovenia,Leeds,Defender
James Justin,,28.0,England,Leeds,Defender
Jayden Bogle,,26.0,England,Leeds,Defender
Joe Rodon,,28.0,Wales,Leeds,Defender
Nico Elvedi,,29.0,Switzerland,Leeds,Defender
Sebastiaan Bornauw,,27.0,Belgium,Leeds,Defender
Tarik Muharemović,,23.0,Bosnia-Herzegovina,Leeds,Defender
Dominic Calvert-Lewin,,29.0,England,Leeds,Forward
Joël Piroe,,27.0,Suriname,Leeds,Forward
Lukas Nmecha,,27.0,Germany,Leeds,Forward
Mateo Joseph Fernández-Regatillo,,22.0,Spain,Leeds,Forward
James Trafford,,23.0,England,Leeds,Goalkeeper
Lucas Estella Perri,,28.0,Brazil,Leeds,Goalkeeper
Anton Stach,,27.0,Germany,Leeds,Midfielder
Brenden Aaronson,,25.0,USA,Leeds,Midfielder
Daniel James,,28.0,Wales,Leeds,Midfielder
Ethan Ampadu,,25.0,Wales,Leeds,Midfielder
Harry Wilson,,29.0,Wales,Leeds,Midfielder
Ilia Gruev,,26.0,Bulgaria,Leeds,Midfielder
Jack Harrison,,29.0,England,Leeds,Midfielder
Noah Okafor,,26.0,Switzerland,Leeds,Midfielder
Sean Longstaff,,28.0,England,Leeds,Midfielder
Tanaka Ao,,27.0,Japan,Leeds,Midfielder
Wilfried Gnonto,,22.0,Italy,Leeds,Midfielder
Calvin Ramsay,,23.0,Scotland,Liverpool,Defender
Conor Bradley,,23.0,Northern Ireland,Liverpool,Defender
Giovanni Leoni,,19.0,Italy,Liverpool,Defender
Jeremie Frimpong,,25.0,Netherlands,Liverpool,Defender
Jeremy Jacquet,,21.0,France,Liverpool,Defender
Joe Gomez,,29.0,England,Liverpool,Defender
Kostas Tsimikas,,30.0,Greece,Liverpool,Defender
Milos Kerkez,,22.0,Hungary,Liverpool,Defender
Ronald Araujo,,27.0,Uruguay,Liverpool,Defender
Virgil van Dijk,,35.0,Netherlands,Liverpool,Defender
Wellity Lucky,,,,Liverpool,Defender
Alexander Isak,,26.0,Sweden,Liverpool,Forward
Hugo Ekitiké,,24.0,France,Liverpool,Forward
Jayden Danns,,,,Liverpool,Forward
Alisson Becker,,33.0,Brazil,Liverpool,Goalkeeper
Armin Pecsi,,,,Liverpool,Goalkeeper
Freddie Woodman,,29.0,England,Liverpool,Goalkeeper
Giorgi Mamardashvili,,25.0,Georgia,Liverpool,Goalkeeper
Harvey Davies,,22.0,England,Liverpool,Goalkeeper
Vitezslav Jaros,,25.0,Czech Republic,Liverpool,Goalkeeper
Alexis Mac Allister,,27.0,Argentina,Liverpool,Midfielder
Cody Gakpo,,27.0,Netherlands,Liverpool,Midfielder
Curtis Jones,,25.0,England,Liverpool,Midfielder
Dominik Szoboszlai,,25.0,Hungary,Liverpool,Midfielder
Endo Wataru,,33.0,Japan,Liverpool,Midfielder
Federico Chiesa,,28.0,Italy,Liverpool,Midfielder
Florian Wirtz,,23.0,Germany,Liverpool,Midfielder
Harvey Elliott,,23.0,England,Liverpool,Midfielder
James McConnell,,21.0,England,Liverpool,Midfielder
Lewis Koumas,,20.0,Wales,Liverpool,Midfielder
Rio Ngumoha,,17.0,England,Liverpool,Midfielder
Ryan Gravenberch,,24.0,Netherlands,Liverpool,Midfielder
Stefan Bajčetić Maquieira,,21.0,Spain,Liverpool,Midfielder
Trey Nyoni,,19.0,England,Liverpool,Midfielder
Victor Munoz,,23.0,Spain,Liverpool,Midfielder
Abdukodir Khusanov,,22.0,Uzbekistan,Man City,Defender
Joško Gvardiol,,24.0,Croatia,Man City,Defender
Marc Guéhi,,26.0,England,Man City,Defender
Matheus Nunes,,27.0,Portugal,Man City,Defender
Max Alleyne,,21.0,England,Man City,Defender
Nico O'Reilly,,21.0,England,Man City,Defender
Rayan Aït-Nouri,,25.0,Algeria,Man City,Defender
Rico Lewis,,21.0,England,Man City,Defender
Rúben dos Santos Gato Alves Dias,,29.0,Portugal,Man City,Defender
Vitor de Oliveira Nunes dos Reis,,20.0,Brazil,Man City,Defender
Erling Haaland,,26.0,Norway,Man City,Forward
Omar Marmoush,,27.0,Egypt,Man City,Forward
Gerónimo Rulli,,34.0,Argentina,Man City,Goalkeeper
Gianluigi Donnarumma,,27.0,Italy,Man City,Goalkeeper
Marcus Bettinelli,,34.0,England,Man City,Goalkeeper
Antoine Semenyo,,26.0,Ghana,Man City,Midfielder
Claudio Echeverri,,20.0,Argentina,Man City,Midfielder
Divine Mukasa,,19.0,England,Man City,Midfielder
Elliot Anderson,,23.0,England,Man City,Midfielder
Jack Grealish,,30.0,England,Man City,Midfielder
Jeremy Monga,,17.0,England,Man City,Midfielder
Jérémy Doku,,24.0,Belgium,Man City,Midfielder
Kalvin Phillips,,30.0,England,Man City,Midfielder
Mateo Kovačić,,32.0,Croatia,Man City,Midfielder
Nico González Iglesias,,24.0,Spain,Man City,Midfielder
Phil Foden,,26.0,England,Man City,Midfielder
Rayan Cherki,,23.0,France,Man City,Midfielder
Rodrigo 'Rodri' Hernandez Cascante,,30.0,Spain,Man City,Midfielder
Sávio Moreira de Oliveira,,22.0,Brazil,Man City,Midfielder
Tijjani Reijnders,,28.0,Netherlands,Man City,Midfielder
Ayden Heaven,,19.0,England,Man Utd,Defender
Diogo Dalot Teixeira,,27.0,Portugal,Man Utd,Defender
Harry Amass,,19.0,England,Man Utd,Defender
Harry Maguire,,33.0,England,Man Utd,Defender
Leny Yoro,,20.0,France,Man Utd,Defender
Lisandro Martínez,,28.0,Argentina,Man Utd,Defender
Luke Shaw,,31.0,England,Man Utd,Defender
Matthijs de Ligt,,27.0,Netherlands,Man Utd,Defender
Noussair Mazraoui,,28.0,Morocco,Man Utd,Defender
Tyler Fredricson,,21.0,England,Man Utd,Defender
Benjamin Sesko,,23.0,Slovenia,Man Utd,Forward
Chido Obi,,18.0,Denmark,Man Utd,Forward
Joshua Zirkzee,,25.0,Netherlands,Man Utd,Forward
Altay Bayındır,,28.0,Turkey,Man Utd,Goalkeeper
Karl Darlow,,35.0,Wales,Man Utd,Goalkeeper
Senne Lammens,,24.0,Belgium,Man Utd,Goalkeeper
