,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
26,Sundaram,Sundaram Small Cap Fund Direct Growth,Equity,Very High Risk,2.0,9.45,31.83,11.15
27,L&T,L&T Emerging Businesses Fund Direct Growth,Equity,Very High Risk,3.0,15.79,31.6,14.95
28,Bank,Bank of India Manufacturing & Infrastructure Direct Growth,Equity,Very High Risk,4.0,13.29,30.94,16.09
29,Kotak,Kotak Emerging Equity Fund Direct Growth,Equity,Very High Risk,4.0,11.21,30.83,17.03
30,Tata,Tata Resources & Energy Fund Direct Growth,Equity,Very High Risk,,-0.25,30.78,15.6
31,Motilal,Motilal Oswal Nasdaq 100 FOF Direct Growth,Other,Very High Risk,,13.7,30.44,
32,UTI,UTI Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,5.98,30.09,14.6
33,ICICI,ICICI Prudential Technology Direct Plan Growth,Equity,Very High Risk,,-14.6,29.99,28.0
34,Motilal,Motilal Oswal Midcap Fund Direct Growth,Equity,Very High Risk,4.0,25.92,29.98,15.77
35,Mirae,Mirae Asset Healthcare Fund Direct Growth,Equity,Very High Risk,,-9.18,29.7,
36,PGIM,PGIM India Flexi Cap Fund Direct Growth,Equity,Very High Risk,5.0,-1.23,29.47,16.95
37,Mahindra,Mahindra Manulife Mid Cap Unnati Yojana Direct Growth,Equity,Very High Risk,3.0,9.78,29.42,
38,Invesco,Invesco India Infrastructure Fund Direct Growth,Equity,Very High Risk,5.0,12.3,29.26,16.2
39,Nippon,Nippon India Consumption Fund Direct Growth,Equity,Very High Risk,5.0,16.68,29.15,16.69
40,Nippon,Nippon India Growth Fund Direct Growth,Equity,Very High Risk,4.0,9.37,29.01,15.88
41,Aditya,Aditya Birla Sun Life Digital India Fund Direct Growth,Equity,Very High Risk,,-13.63,29.0,27.02
42,Canara,Canara Robeco Infrastructure Direct Growth,Equity,Very High Risk,3.0,19.18,28.9,12.8
43,DSP,DSP Healthcare Fund Direct Growth,Equity,Very High Risk,,-12.79,28.84,
44,Baroda,Baroda BNP Paribas Midcap Direct Growth,Equity,Very High Risk,3.0,5.62,28.66,13.96
45,IDFC,IDFC Sterling Value Fund Direct Plan Growth,Equity,Very High Risk,4.0,11.58,28.59,12.71
46,ICICI,ICICI Prudential India Opportunities Fund Direct Growth,Equity,Very High Risk,,21.64,28.57,
47,Mahindra,Mahindra Manulife Multi Cap Badhat Yojana Direct Growth,Equity,Very High Risk,5.0,6.71,28.52,16.91
48,Bank,Bank of India Tax Advantage Direct Growth,Equity,Very High Risk,4.0,0.29,28.45,16.1
49,Quant,Quant Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,5.0,15.3,28.29,15.27
50,Bank,Bank of India Mid & Small Cap Equity & Debt Fund Direct Growth,Hybrid,Very High Risk,4.0,2.45,28.28,13.46
51,HDFC,HDFC Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,8.27,28.18,16.54
52,Tata,Tata Digital India Fund Direct Growth,Equity,Very High Risk,,-13.64,27.94,28.91
53,SBI,SBI Magnum COMMA Fund Direct Growth,Equity,Very High Risk,,-2.01,27.9,13.65
54,Sundaram,Sundaram Services Fund Direct Growth,Equity,Very High Risk,,7.47,27.46,
55,Quant,Quant Focused Fund Direct Growth,Equity,Very High Risk,5.0,12.14,27.36,15.77
56,Edelweiss,Edelweiss Recently Listed IPO Fund Direct Growth,Equity,Very High Risk,,-6.65,27.28,
57,Tata,Tata Infrastructure Direct Plan Growth,Equity,Very High Risk,3.0,19.5,27.17,14.11
58,HDFC,HDFC Mid Cap Opportunities Direct Plan Growth,Equity,Very High Risk,3.0,12.36,27.0,14.18
59,Kotak,Kotak Infrastructure and Economic Reform Fund Direct Growth,Equity,Very High Risk,4.0,18.56,26.99,13.24
60,Invesco,Invesco India Mid Cap Fund Direct Growth,Equity,Very High Risk,4.0,6.32,26.9,16.31
61,Axis,Axis Midcap Direct Plan Growth,Equity,Very High Risk,5.0,2.45,26.9,18.88
62,Tata,Tata Midcap Growth Direct Plan Growth,Equity,Very High Risk,3.0,5.13,26.44,14.49
63,IDFC,IDFC Tax Advantage (ELSS) Direct Plan Growth,Equity,Very High Risk,4.0,9.29,26.43,14.53
64,ICICI,ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,Equity,Very High Risk,,-11.09,26.41,
65,HSBC,HSBC Infrastructure Equity Fund Direct Growth,Equity,Very High Risk,1.0,13.37,26.33,5.35
66,Franklin,Franklin India Smaller Companies Direct Fund Growth,Equity,Very High Risk,2.0,7.45,26.31,11.56
67,Axis,Axis Growth Opportunities Fund Direct Growth,Equity,Very High Risk,5.0,2.39,26.08,
68,Canara,Canara Robeco Consumer Trends Fund Direct Growth,Equity,Very High Risk,4.0,10.39,26.07,16.91
69,ICICI,ICICI Prudential MNC Fund Direct Growth,Equity,High Risk,,8.4,26.01,
70,Parag,Parag Parikh Flexi Cap Fund Direct Growth,Equity,Very High Risk,5.0,0.55,25.96,18.71
71,ICICI,ICICI Prudential Thematic Advantage Fund (FOF)Direct Growth,Other,Very High Risk,,6.16,25.85,14.37
72,HSBC,HSBC Small Cap Equity Fund Direct Growth,Equity,Very High Risk,2.0,-1.97,25.82,9.62
73,Canara,Canara Robeco Equity Tax Saver Direct Growth,Equity,Very High Risk,5.0,3.12,25.81,17.19
74,Templeton,Templeton India Value Fund Direct Plan Growth,Equity,Very High Risk,3.0,16.39,25.76,12.12
75,SBI,SBI Consumption Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,27.14,25.65,16.34
76,Canara,Canara Robeco Emerging Equities Fund Direct Growth,Equity,Very High Risk,4.0,3.19,25.61,14.49
77,SBI,SBI Technology Opportunities Fund Direct Growth,Equity,Very High Risk,,-11.86,25.58,25.85
78,Nippon,Nippon India Pharma Fund Direct Growth,Equity,Very High Risk,,-11.75,25.53,18.47
79,SBI,SBI Healthcare Opportunities Fund Direct Plan Growth,Equity,Very High Risk,,-8.43,25.52,13.55
80,ICICI,ICICI Prudential Infrastructure Direct Growth,Equity,Very High Risk,4.0,22.31,25.5,13.88
81,Taurus,Taurus Discovery (Midcap) Fund Direct Growth,Equity,Very High Risk,3.0,5.11,25.48,12.93
82,Nippon,Nippon India Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,9.62,25.42,13.63
83,HDFC,HDFC Retirement Savings Fund Equity Plan Direct Growth,Solution Oriented,Very High Risk,5.0,9.09,25.41,15.62
84,Parag,Parag Parikh Tax Saver Fund Direct Growth,Equity,Moderately High Risk,5.0,9.25,25.31,
85,Principal,Principal Global Opportunities Fund Direct Growth,Other,Very High Risk,1.0,27.05,25.29,17.49
86,ICICI,ICICI Prudential Midcap Direct Plan Growth,Equity,Very High Risk,3.0,7.59,25.28,13.35
87,UTI,UTI Transportation and Logistics Fund Direct Growth,Equity,Very High Risk,,30.77,25.06,7.81
88,Templeton,Templeton India Equity Income Direct Plan Growth,Equity,Very High Risk,,11.31,24.92,14.62
89,IIFL,IIFL Focused Equity Fund Direct Growth,Equity,Very High Risk,5.0,1.71,24.86,16.67
90,Mirae,Mirae Asset Emerging Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,0.75,24.83,16.4
91,ICICI,ICICI Prudential Value Discovery Direct Growth,Equity,Very High Risk,4.0,13.9,24.82,14.98
92,Baroda,Baroda BNP Paribas India Consumption Fund Direct Growth,Equity,Very High Risk,4.0,9.48,24.63,
93,SBI,SBI Large & Midcap Fund Direct Plan Growth,Equity,Very High Risk,4.0,11.62,24.41,14.85
94,Edelweiss,Edelweiss Large & Mid Cap Direct Plan Growth,Equity,Very High Risk,5.0,7.12,24.41,15.76
95,Tata,Tata Ethical Direct Plan Growth,Equity,Very High Risk,,1.41,24.28,14.8
96,Tata,Tata India Pharma & HealthCare Fund Direct Growth,Equity,Very High Risk,,-9.24,24.22,17.06
97,Aditya,Aditya Birla Sun Life Mid Cap Direct Fund Growth,Equity,Very High Risk,1.0,6.87,24.21,10.01
98,IDFC,IDFC Infrastructure Direct Plan Growth,Equity,Very High Risk,2.0,5.14,24.19,9.32
99,ICICI,ICICI Prudential Manufacturing Fund Direct Growth,Equity,Very High Risk,,8.66,24.16,
100,UTI,UTI Healthcare Fund Direct Growth,Equity,Very High Risk,,-12.32,24.08,14.03
101,Mirae,Mirae Asset Tax Saver Fund Direct Growth,Equity,Very High Risk,5.0,1.57,23.99,16.73
102,Sundaram,Sundaram Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,4.0,23.98,13.34
103,SBI,SBI Infrastructure Fund Direct Growth,Equity,Very High Risk,4.0,11.98,23.96,13.75
104,Nippon,Nippon India Power & Infra Fund Direct Growth,Equity,Very High Risk,2.0,10.7,23.96,9.75
105,ICICI,ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity,Very High Risk,3.0,15.72,23.95,14.24
106,Mirae,Mirae Asset Great Consumer Fund Direct Growth,Equity,Very High Risk,3.0,11.2,23.87,16.38
107,DSP,DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,Equity,Very High Risk,3.0,12.83,23.82,12.19
108,Baroda,Baroda BNP Paribas Multi Cap Fund Direct Growth,Equity,Very High Risk,4.0,4.43,23.8,13.01
109,HDFC,HDFC Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,10.86,23.69,13.83
110,IDBI,IDBI Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,7.74,23.65,14.45
111,Nippon,Nippon India Multi Cap Fund Direct Growth,Equity,Very High Risk,,16.79,23.63,14.53
112,Nippon,Nippon India Value Fund Direct Growth,Equity,Very High Risk,3.0,6.58,23.58,14.13
113,Baroda,Baroda Midcap Direct Fund Growth,Equity,Very High Risk,4.0,27.49,23.56,16.94
114,Sundaram,Sundaram Infrastructure Advantage Fund Direct Growth,Equity,Very High Risk,3.0,10.75,23.53,11.04
115,Mahindra,Mahindra Manulife ELSS Kar Bachat Yojana Direct Growth,Equity,Very High Risk,3.0,5.18,23.5,12.33
116,DSP,DSP Natural Resources and New Energy Fund Direct Plan Growth,Equity,Very High Risk,,-0.22,23.46,9.53
117,Mirae,Mirae Asset Focused Fund Direct Growth,Equity,Very High Risk,5.0,-1.89,23.43,
118,Kotak,Kotak Equity Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,6.49,23.37,14.1
119,Sundaram,Sundaram Focused Fund Direct Growth,Equity,Very High Risk,4.0,2.75,23.36,14.45
120,Aditya,Aditya Birla Sun Life Small Cap Fund Direct Growth,Equity,Very High Risk,1.0,-1.67,23.25,7.78
121,Sundaram,Sundaram Mid Cap Fund Direct Growth,Equity,Very High Risk,1.0,8.96,23.2,10.37
122,Union,Union Long Term Equity Fund Direct Growth,Equity,Very High Risk,4.0,4.33,23.17,14.05
123,LIC,LIC MF Infrastructure Fund Direct Growth,Equity,Very High Risk,4.0,13.97,23.03,12.81
124,IDBI,IDBI Midcap Fund Direct Growth,Equity,Very High Risk,1.0,1.01,23.03,9.95
125,ICICI,ICICI Prudential Dividend Yield Equity Fund Direct Growth,Equity,Very High Risk,,13.92,23.0,11.81
126,Kotak,Kotak Tax Saver Fund Direct Growth,Equity,Very High Risk,4.0,7.16,22.95,14.31
127,Invesco,Invesco India Multicap Fund Direct Growth,Equity,Very High Risk,,1.37,22.91,12.73
128,Aditya,Aditya Birla Sun Life India GenNext Direct Fund Growth,Equity,Very High Risk,3.0,8.23,22.89,15.09
129,Aditya,Aditya Birla Sun Life Infrastructure Direct Fund Growth,Equity,Very High Risk,2.0,5.7,22.89,7.62
130,L&T,L&T Infrastructure Fund Direct Growth,Equity,Very High Risk,3.0,14.32,22.86,10.44
131,Taurus,Taurus Infrastructure Fund Direct Growth,Equity,Very High Risk,3.0,7.17,22.83,11.78
132,Principal,Principal Emerging Bluechip Fund Direct Growth,Equity,Very High Risk,4.0,41.77,22.81,20.68
133,UTI,UTI Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-5.71,22.79,15.58
134,ICICI,ICICI Prudential Equity & Debt Fund Direct Growth,Hybrid,Very High Risk,5.0,16.06,22.78,15.04
135,Franklin,Franklin India Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,8.1,22.75,13.08
136,Canara,Canara Robeco Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,0.61,22.73,15.14
137,Bank,Bank of India Large & Mid Cap Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.53,22.7,11.69
138,Sundaram,Sundaram Multi Cap Fund Direct Growth,Equity,Very High Risk,,6.45,22.7,12.7
139,ICICI,ICICI Prudential Focused Equity Fund Direct Growth,Equity,Very High Risk,4.0,7.22,22.68,14.69
140,Union,Union Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,1.12,22.65,14.14
141,PGIM,PGIM India ELSS Tax Saver Fund Direct Growth,Equity,Very High Risk,4.0,8.28,22.57,14.16
142,Franklin,Franklin India Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,8.82,22.56,14.65
143,Franklin,Franklin Build India Direct Fund Growth,Equity,Very High Risk,3.0,11.89,22.51,13.71
144,HDFC,HDFC Focused 30 Fund Direct Plan Growth,Equity,Very High Risk,2.0,23.54,22.5,11.72
145,SBI,SBI Magnum Global Direct Plan Growth,Equity,Very High Risk,,2.98,22.42,13.97
146,L&T,L&T Midcap Fund Direct Growth,Equity,Very High Risk,2.0,2.76,22.4,10.29
147,Invesco,Invesco India Contra Fund Direct Growth,Equity,Very High Risk,4.0,6.02,22.33,15.34
148,ICICI,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,15.78,22.23,
149,Union,Union Focused Fund Direct Growth,Equity,Moderately High Risk,4.0,1.92,22.22,
150,Taurus,Taurus Ethical Fund Direct Growth,Equity,Very High Risk,,2.61,22.19,15.22
151,JM,JM Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,1.86,22.17,10.68
152,UTI,UTI Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,1.44,22.14,13.24
153,L&T,L&T India Value Fund Direct Growth,Equity,Very High Risk,2.0,4.93,22.13,11.25
154,Tata,Tata India Consumer Fund Direct Growth,Equity,Very High Risk,2.0,8.52,22.07,13.78
155,Navi,Navi Large & Midcap Fund Direct Growth,Equity,Very High Risk,3.0,7.74,22.06,13.33
156,Franklin,Franklin India Opportunities Direct Fund Growth,Equity,Very High Risk,,2.48,21.98,12.44
157,DSP,DSP Tax Saver Direct Plan Growth,Equity,Very High Risk,4.0,2.14,21.94,13.86
158,LIC,LIC MF Large & Mid Cap Fund Direct Growth,Equity,Very High Risk,4.0,6.98,21.9,14.08
159,Mahindra,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,Hybrid,Moderately High Risk,5.0,5.68,21.84,
160,DSP,DSP Midcap Direct Plan Growth,Equity,Very High Risk,2.0,-1.81,21.82,12.2
161,UTI,UTI Value Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,3.19,21.81,13.92
162,Tata,Tata Large & Mid Cap Fund Direct Plan Growth,Equity,Very High Risk,3.0,7.49,21.74,14.31
163,L&T,L&T Business Cycles Fund Direct Growth,Equity,Very High Risk,,11.88,21.7,10.01
164,UTI,UTI Core Equity Fund Direct Growth,Equity,Very High Risk,2.0,4.48,21.67,11.56
165,DSP,DSP Nifty 50 Equal Weight Index Fund Direct Growth,Other,Very High Risk,4.0,6.3,21.64,
166,IDBI,IDBI India Top 100 Equity Fund Direct Growth,Equity,Very High Risk,4.0,4.28,21.64,12.36
167,Franklin,Franklin India Feeder Franklin US Opportunities Direct Fund Growth,Other,Very High Risk,,3.96,21.63,19.74
168,Canara,Canara Robeco Bluechip Equity Fund Direct Growth,Equity,Very High Risk,5.0,0.28,21.62,15.22
169,Edelweiss,Edelweiss Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,5.23,21.59,14.42
170,ICICI,ICICI Prudential Bharat Consumption Fund Direct Growth,Equity,High Risk,3.0,18.68,21.53,
171,IDFC,IDFC Core Equity Fund Direct Growth,Equity,Very High Risk,3.0,6.11,21.47,11.95
172,IDBI,IDBI Dividend Yield Fund Direct Growth,Equity,Very High Risk,,5.3,21.46,
173,SBI,SBI Long Term Equity Fund Direct Plan Growth,Equity,Very High Risk,3.0,6.47,21.45,11.66
174,HDFC,HDFC Flexi Cap Direct Plan Growth,Equity,Very High Risk,3.0,18.17,21.44,14.06
175,Kotak,Kotak Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,8.54,21.42,13.63
176,Invesco,Invesco India PSU Equity Fund Direct Growth,Equity,Very High Risk,,12.56,21.36,10.04
177,JM,JM Flexicap Fund Direct Plan Growth,Equity,Very High Risk,3.0,7.27,21.24,12.83
178,Kotak,Kotak India EQ Contra Fund Direct Growth,Equity,Very High Risk,4.0,5.06,21.16,14.85
179,IDBI,IDBI Healthcare Fund Direct Growth,Equity,High Risk,,-14.49,21.15,
180,Nippon,Nippon India Vision Direct Growth,Equity,Very High Risk,1.0,3.7,21.08,9.4
181,Franklin,Franklin India Technology Fund Direct Growth,Equity,Very High Risk,,-18.37,21.01,19.69
182,ICICI,ICICI Prudential Multi Asset Fund Direct Growth,Hybrid,Very High Risk,4.0,17.2,20.97,14.46
183,Sundaram,Sundaram Dividend Yield Fund Direct Growth,Equity,Very High Risk,,0.46,20.96,12.72
184,JM,JM Tax Gain Direct Plan Growth,Equity,Very High Risk,4.0,2.5,20.91,13.25
185,JM,JM Value Fund Direct Plan Growth,Equity,Very High Risk,3.0,3.26,20.87,10.46
186,Nippon,Nippon India Quant Fund Retail Direct Growth,Equity,Very High Risk,,5.38,20.87,12.22
187,HSBC,HSBC Large and Mid Cap Equity Fund Direct Growth,Equity,Moderately High Risk,3.0,0.91,20.86,
188,DSP,DSP Equity Opportunities Direct Plan Growth,Equity,Very High Risk,3.0,0.3,20.82,12.45
189,Franklin,Franklin India Prima Direct Fund Growth,Equity,Very High Risk,2.0,1.07,20.74,11.67
190,SBI,SBI Focused Equity Fund Direct Plan Growth,Equity,Very High Risk,4.0,0.85,20.66,15.43
191,ICICI,ICICI Prudential Exports and Services Fund Direct Growth,Equity,Very High Risk,,5.87,20.63,13.03
192,Kotak,Kotak Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,1.62,20.56,13.54
193,Kotak,Kotak Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.39,20.54,
194,DSP,DSP Flexi Cap Fund Direct Plan Growth,Equity,Very High Risk,3.0,-3.22,20.51,13.36
195,Quantum,Quantum India ESG Equity Fund Direct Growth,Equity,High Risk,,-0.92,20.5,
196,Tata,Tata India Tax Savings Fund Direct Growth,Equity,Very High Risk,3.0,7.73,20.48,13.01
197,Nippon,Nippon India Large Cap Fund Direct Growth,Equity,Very High Risk,2.0,11.45,20.37,13.34
198,Kotak,Kotak Multi Asset Allocator FoF Dynamic Direct Growth,Other,Very High Risk,,7.69,20.33,14.51
199,Aditya,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth,Equity,High Risk,,-13.83,20.24,
200,Aditya,Aditya Birla Sun Life Dividend Yield Fund Direct Growth,Equity,Very High Risk,,3.37,20.24,8.37
201,Sundaram,Sundaram Nifty 100 Equal Weight Fund Direct Growth,Other,Very High Risk,2.0,3.5,20.21,10.43
202,UTI,UTI India Consumer Fund Direct Growth,Equity,Very High Risk,2.0,7.2,20.06,11.79
203,HSBC,HSBC Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,0.5,19.94,9.97
204,Edelweiss,Edelweiss Long Term Equity Fund (Tax Savings) Direct Growth,Equity,Very High Risk,3.0,4.66,19.9,12.12
205,DSP,DSP Quant Fund Direct Growth,Equity,High Risk,,-5.06,19.85,
206,Mahindra,Mahindra Manulife Large Cap Pragati Yojana Direct Growth,Equity,Moderately High Risk,4.0,3.66,19.81,
207,ICICI,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth,Equity,Very High Risk,3.0,3.28,19.76,13.96
208,ICICI,ICICI Prudential Multicap Fund Direct Plan Growth,Equity,Very High Risk,,5.55,19.71,13.27
209,UTI,UTI Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,4.0,4.13,19.62,
210,UTI,UTI Infrastructure Fund Direct Growth,Equity,Very High Risk,2.0,6.67,19.61,9.31
211,Baroda,Baroda BNP Paribas Focused Fund Direct Growth,Equity,Very High Risk,3.0,5.35,19.54,
212,Nippon,Nippon India Nifty Next 50 Junior BeES FoF Direct Growth,Other,Moderately High Risk,4.0,4.25,19.53,
213,UTI,UTI Mastershare Direct Growth,Equity,Very High Risk,4.0,0.65,19.52,13.44
214,Franklin,Franklin India Equity Advantage Fund Direct Growth,Equity,Very High Risk,2.0,3.75,19.51,11.23
215,HSBC,HSBC Tax Saver Equity Fund Direct Growth,Equity,Very High Risk,2.0,3.54,19.51,10.56
216,Invesco,Invesco India Tax Plan Direct Growth,Equity,Very High Risk,3.0,-1.89,19.45,13.47
217,Nippon,Nippon India Tax Saver (ELSS) Fund Direct Growth,Equity,Very High Risk,1.0,5.61,19.44,6.42
218,BNP,BNP Paribas Multi Cap Fund Direct Growth,Equity,Very High Risk,,20.46,19.42,15.26
219,Franklin,Franklin India Taxshield Direct Growth,Equity,Very High Risk,3.0,7.53,19.41,12.0
220,Indiabulls,Indiabulls Value Fund Direct Growth,Equity,Very High Risk,2.0,4.2,19.41,7.73
221,IDBI,IDBI Focused 30 Equity Fund Direct Growth,Equity,Very High Risk,4.0,3.8,19.38,
222,Aditya,Aditya Birla Sun Life Equity Advantage Fund Direct Growth,Equity,Very High Risk,1.0,-7.52,19.36,8.51
223,DSP,DSP Nifty Next 50 Index Fund Direct Growth,Other,Moderately High Risk,3.0,4.25,19.33,
224,ICICI,ICICI Prudential Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,6.44,19.3,13.12
225,SBI,SBI Equity Minimum Variance Fund Direct Growth,Equity,Very High Risk,,2.33,19.28,
226,ICICI,ICICI Prudential Nifty Next 50 Index Direct Growth,Other,Very High Risk,2.0,4.1,19.26,9.5
227,IDBI,IDBI Nifty Junior Index Fund Direct Growth,Other,Very High Risk,2.0,4.41,19.26,9.46
228,Aditya,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-1.58,19.26,11.18
229,L&T,L&T Large and Midcap Fund Direct Growth,Equity,Very High Risk,2.0,3.52,19.25,9.82
230,Tata,Tata Equity PE Fund Direct Growth,Equity,Very High Risk,3.0,8.2,19.23,10.51
231,SBI,SBI Bluechip Direct Plan Growth,Equity,Very High Risk,3.0,4.17,19.23,12.24
232,Sundaram,Sundaram Rural and Consumption Fund Direct Growth,Equity,Very High Risk,1.0,11.31,19.21,9.81
233,Navi,Navi Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,4.39,19.16,
234,HDFC,HDFC Capital Builder Value Fund Direct Plan Growth,Equity,Very High Risk,2.0,4.41,19.13,11.66
235,IDFC,IDFC Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,1.56,19.09,11.8
236,Aditya,Aditya Birla Sun Life Manufacturing Equity Fund Direct Growth,Equity,Very High Risk,,-1.25,19.06,8.76
237,IDFC,IDFC Focused Equity Fund Direct Growth,Equity,Very High Risk,2.0,2.01,19.01,9.12
238,Edelweiss,Edelweiss Aggressive Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,8.0,18.97,12.98
239,Mahindra,Mahindra Manulife Rural Bharat And Consumption Yojana Direct Growth,Equity,Very High Risk,5.0,11.63,18.96,
240,Tata,Tata Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,1.46,18.95,
241,Motilal,Motilal Oswal Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,-2.06,18.93,10.54
242,HDFC,HDFC Taxsaver Direct Plan Growth,Equity,Very High Risk,2.0,11.45,18.88,10.27
243,Aditya,Aditya Birla Sun Life Pure Value Direct Fund Growth,Equity,Very High Risk,1.0,1.4,18.81,5.27
244,Canara,Canara Robeco Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,1.86,18.77,13.1
245,Edelweiss,Edelweiss Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,1.53,18.76,13.62
246,HDFC,HDFC Balanced Advantage Fund Direct Plan Growth,Hybrid,Very High Risk,2.0,17.16,18.75,12.36
247,Invesco,Invesco India Largecap Fund Direct Growth,Equity,Very High Risk,4.0,1.7,18.71,13.21
248,Baroda,Baroda BNP Paribas Large Cap Fund Direct Growth,Equity,Very High Risk,5.0,2.96,18.6,12.96
249,IDFC,IDFC Nifty 50 Index Direct Plan Growth,Other,Very High Risk,4.0,2.98,18.57,13.48
250,Aditya,Aditya Birla Sun Life Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,1.6,18.56,11.41
251,SBI,SBI Magnum Equity ESG Fund Direct Plan Growth,Equity,Very High Risk,,1.78,18.55,13.34
