txn_id,customer_id,account_id,amount,txn_type,payment_mode,category,subcategory,merchant_name,txn_date,city,state,country,description,created_at
37,33,31,32027.19,DEBIT,CASH,HOUSING,Internet,BSES/TNEB/MSEDCL,2025-08-28 05:12:57,Chennai,Tamil Nadu,India,Payment for Internet at BSES/TNEB/MSEDCL.,2025-12-12 11:43:50
38,34,32,37757.78,DEBIT,NET_BANKING,FINANCE,Credit Card Payment,HDFC Bank/SBI,2025-09-29 20:05:10,Delhi,Delhi,India,Payment for Credit Card Payment at HDFC Bank/SBI.,2025-12-12 11:43:51
39,35,33,9876.57,DEBIT,CARD,HEALTHCARE,Pharmacy,Apollo Pharmacy,2025-11-10 07:24:23,Chennai,Tamil Nadu,India,Payment for Pharmacy at Apollo Pharmacy.,2025-12-12 11:43:51
40,36,34,2718.65,DEBIT,NET_BANKING,TRANSPORT,Metro/Bus Pass,IOCL Pump,2025-06-23 21:05:18,Mumbai,Maharashtra,India,Payment for Metro/Bus Pass at IOCL Pump.,2025-12-12 11:43:51
41,37,35,4216.29,DEBIT,UPI,SUBSCRIPTIONS,Newspaper,Netflix/Hotstar,2025-10-02 18:28:27,Kolkata,West Bengal,India,Payment for Newspaper at Netflix/Hotstar.,2025-12-12 11:43:51
42,38,36,6554.17,DEBIT,WALLET,HEALTHCARE,Lab Test,LIC/HDFC Life,2025-06-21 00:48:03,Delhi,Delhi,India,Payment for Lab Test at LIC/HDFC Life.,2025-12-12 11:43:51
43,39,37,20728.0,DEBIT,UPI,SHOPPING,Books,Zara/H&M,2025-09-08 00:27:16,Chennai,Tamil Nadu,India,Payment for Books at Zara/H&M.,2025-12-12 11:43:52
44,40,38,18749.66,DEBIT,NET_BANKING,TRAVEL,Flight,Local Travel Agency,2025-07-13 22:18:24,Lucknow,Uttar Pradesh,India,Payment for Flight at Local Travel Agency.,2025-12-12 11:43:52
45,41,39,426.01,DEBIT,CARD,OTHERS,Donation,Jawed Habib,2025-06-16 22:27:43,Bengaluru,Karnataka,India,Payment for Donation at Jawed Habib.,2025-12-12 11:43:52
46,42,40,51177.93,DEBIT,CARD,FINANCE,Loan EMI,ICICI Bank/Axis Bank,2025-10-23 19:55:03,Delhi,Delhi,India,Payment for Loan EMI at ICICI Bank/Axis Bank.,2025-12-12 11:43:52
47,43,41,47364.72,DEBIT,CASH,FINANCE,Loan EMI,Zerodha/Groww,2025-10-07 05:42:48,Pune,Maharashtra,India,Payment for Loan EMI at Zerodha/Groww.,2025-12-12 11:43:52
48,44,42,5093.88,DEBIT,WALLET,HEALTHCARE,Pharmacy,Apollo Pharmacy,2025-09-30 03:57:02,Jaipur,Rajasthan,India,Payment for Pharmacy at Apollo Pharmacy.,2025-12-12 11:43:53
49,45,43,6150.93,DEBIT,WALLET,FINANCE,Credit Card Payment,HDFC Bank/SBI,2025-11-14 23:43:52,Kolkata,West Bengal,India,Payment for Credit Card Payment at HDFC Bank/SBI.,2025-12-12 11:43:53
50,46,44,11329.05,DEBIT,AUTO_DEBIT,HEALTHCARE,Lab Test,Apollo Pharmacy,2025-06-28 13:33:17,Delhi,Delhi,India,Payment for Lab Test at Apollo Pharmacy.,2025-12-12 11:43:53
51,47,45,4137.44,DEBIT,CASH,FINANCE,Loan EMI,Zerodha/Groww,2025-09-28 03:43:20,Pune,Maharashtra,India,Payment for Loan EMI at Zerodha/Groww.,2025-12-12 11:43:53
52,48,46,7483.63,DEBIT,UPI,OTHERS,Donation,Pet Clinic,2025-09-16 01:02:44,Ahmedabad,Gujarat,India,Payment for Donation at Pet Clinic.,2025-12-12 11:43:53
53,49,47,12653.53,DEBIT,UPI,HEALTHCARE,Lab Test,LIC/HDFC Life,2025-10-27 21:15:41,Lucknow,Uttar Pradesh,India,Payment for Lab Test at LIC/HDFC Life.,2025-12-12 11:43:54
54,50,48,2377.9,DEBIT,UPI,SUBSCRIPTIONS,Streaming,Netflix/Hotstar,2025-08-26 06:32:01,Mumbai,Maharashtra,India,Payment for Streaming at Netflix/Hotstar.,2025-12-12 11:43:54
55,51,49,19618.4,DEBIT,AUTO_DEBIT,TRAVEL,Hotel,Local Travel Agency,2025-12-08 09:23:47,Chennai,Tamil Nadu,India,Payment for Hotel at Local Travel Agency.,2025-12-12 11:43:54
56,52,50,41856.01,DEBIT,CARD,EDUCATION,Course Material,BYJU's/Vedantu,2025-10-21 22:01:15,Delhi,Delhi,India,Payment for Course Material at BYJU's/Vedantu.,2025-12-12 11:43:54
57,53,53,2073.46,DEBIT,WALLET,HOUSING,Electricity Bill,Landlord,2025-08-17 20:46:45,Jaipur,Rajasthan,India,Payment for Electricity Bill at Landlord.,2025-12-12 11:43:54
58,1,51,23633.91,DEBIT,CARD,FINANCE,Loan EMI,Zerodha/Groww,2025-06-17 01:40:03,Mumbai,Maharashtra,India,Payment for Loan EMI at Zerodha/Groww.,2025-12-12 11:43:55
59,2,52,12350.58,DEBIT,CARD,HEALTHCARE,Pharmacy,Practo/Local Clinic,2025-07-27 13:31:42,Bengaluru,Karnataka,India,Payment for Pharmacy at Practo/Local Clinic.,2025-12-12 11:43:55
60,3,1,26694.55,DEBIT,WALLET,EDUCATION,Course Material,BYJU's/Vedantu,2025-09-15 12:56:50,Jaipur,Rajasthan,India,Payment for Course Material at BYJU's/Vedantu.,2025-12-12 11:43:55
61,4,2,14405.55,DEBIT,AUTO_DEBIT,TRAVEL,Flight,OYO/Goibibo,2025-08-11 07:32:26,Chennai,Tamil Nadu,India,Payment for Flight at OYO/Goibibo.,2025-12-12 11:43:55
62,5,3,5302.35,DEBIT,AUTO_DEBIT,TRAVEL,Flight,Local Travel Agency,2025-11-03 16:16:13,Kolkata,West Bengal,India,Payment for Flight at Local Travel Agency.,2025-12-12 11:43:55
63,6,4,17928.45,DEBIT,NET_BANKING,TRAVEL,Local Sightseeing,Indigo/Air India,2025-11-13 01:08:57,Delhi,Delhi,India,Payment for Local Sightseeing at Indigo/Air India.,2025-12-12 11:43:56
64,7,5,500.0,DEBIT,UPI,FOOD,Coffee Shop,Zomato/Swiggy,2025-10-18 01:54:33,Bengaluru,Karnataka,India,Payment for Coffee Shop at Zomato/Swiggy.,2025-12-12 11:43:56
65,8,6,3879.79,DEBIT,CARD,SUBSCRIPTIONS,Streaming,Microsoft 365,2025-07-06 09:22:24,Ahmedabad,Gujarat,India,Payment for Streaming at Microsoft 365.,2025-12-12 11:43:56
66,9,7,30623.86,DEBIT,NET_BANKING,HOUSING,Internet,Landlord,2025-10-14 16:15:26,Mumbai,Maharashtra,India,Payment for Internet at Landlord.,2025-12-12 11:43:56
67,10,8,36130.41,DEBIT,CASH,EDUCATION,Online Course,Coursera/Udemy,2025-10-11 11:32:04,Lucknow,Uttar Pradesh,India,Payment for Online Course at Coursera/Udemy.,2025-12-12 11:43:57
68,11,9,1484.05,DEBIT,UPI,FOOD,Restaurant,Zomato/Swiggy,2025-11-20 18:03:07,Ahmedabad,Gujarat,India,Payment for Restaurant at Zomato/Swiggy.,2025-12-12 11:43:57
69,12,10,4197.68,DEBIT,WALLET,SHOPPING,Clothing,Croma/Reliance Digital,2025-08-14 02:44:03,Delhi,Delhi,India,Payment for Clothing at Croma/Reliance Digital.,2025-12-12 11:43:57
70,13,11,7620.28,DEBIT,CARD,HEALTHCARE,Pharmacy,Practo/Local Clinic,2025-08-25 09:25:21,Kolkata,West Bengal,India,Payment for Pharmacy at Practo/Local Clinic.,2025-12-12 11:43:57
71,14,12,850.56,DEBIT,AUTO_DEBIT,TRANSPORT,Cab,NHAI Toll,2025-06-25 15:03:41,Bengaluru,Karnataka,India,Payment for Cab at NHAI Toll.,2025-12-12 11:43:57
72,15,13,5518.78,DEBIT,UPI,SHOPPING,Online Shopping,Amazon India/Myntra,2025-10-23 04:30:17,Lucknow,Uttar Pradesh,India,Payment for Online Shopping at Amazon India/Myntra.,2025-12-12 11:43:58
73,16,14,2736.63,DEBIT,CASH,FOOD,Online Delivery,Zomato/Swiggy,2025-06-21 21:05:07,Hyderabad,Telangana,India,Payment for Online Delivery at Zomato/Swiggy.,2025-12-12 11:43:58
74,17,15,17279.46,DEBIT,CARD,TRAVEL,Train,IRCTC,2025-09-02 11:27:00,Ahmedabad,Gujarat,India,Payment for Train at IRCTC.,2025-12-12 11:43:58
75,18,16,345.92,DEBIT,UPI,TRANSPORT,Metro/Bus Pass,Delhi Metro/BMTC,2025-10-18 17:11:47,Mumbai,Maharashtra,India,Payment for Metro/Bus Pass at Delhi Metro/BMTC.,2025-12-12 11:43:58
76,19,17,22295.53,DEBIT,NET_BANKING,HOUSING,Electricity Bill,RWA,2025-07-28 17:50:47,Delhi,Delhi,India,Payment for Electricity Bill at RWA.,2025-12-12 11:43:58
77,20,18,25470.92,DEBIT,UPI,HOUSING,Rent,Landlord,2025-09-17 19:18:28,Bengaluru,Karnataka,India,Payment for Rent at Landlord.,2025-12-12 11:43:59
78,21,19,4199.11,DEBIT,AUTO_DEBIT,SHOPPING,Clothing,Zara/H&M,2025-08-20 16:51:32,Jaipur,Rajasthan,India,Payment for Clothing at Zara/H&M.,2025-12-12 11:43:59
79,22,20,375.12,DEBIT,UPI,TRANSPORT,Toll,IOCL Pump,2025-07-21 16:47:33,Kolkata,West Bengal,India,Payment for Toll at IOCL Pump.,2025-12-12 11:43:59
80,23,21,36901.81,DEBIT,CASH,EDUCATION,Tuition Fees,BYJU's/Vedantu,2025-09-02 02:44:48,Lucknow,Uttar Pradesh,India,Payment for Tuition Fees at BYJU's/Vedantu.,2025-12-12 11:43:59
81,24,22,1152.09,DEBIT,CARD,FOOD,Coffee Shop,Reliance Smart,2025-07-06 01:21:47,Ahmedabad,Gujarat,India,Payment for Coffee Shop at Reliance Smart.,2025-12-12 11:44:00
82,25,23,244.75,DEBIT,NET_BANKING,FOOD,Coffee Shop,Saravana Bhavan,2025-08-01 10:29:10,Delhi,Delhi,India,Payment for Coffee Shop at Saravana Bhavan.,2025-12-12 11:44:00
83,26,24,3945.89,DEBIT,CASH,FOOD,Groceries,Saravana Bhavan,2025-07-11 19:25:35,Bengaluru,Karnataka,India,Payment for Groceries at Saravana Bhavan.,2025-12-12 11:44:00
84,27,25,3603.2,DEBIT,UPI,SUBSCRIPTIONS,Streaming,Microsoft 365,2025-09-02 11:21:38,Kolkata,West Bengal,India,Payment for Streaming at Microsoft 365.,2025-12-12 11:44:00
85,28,26,15383.95,DEBIT,CARD,HEALTHCARE,Doctor Visit,Apollo Pharmacy,2025-10-09 17:23:44,Chennai,Tamil Nadu,India,Payment for Doctor Visit at Apollo Pharmacy.,2025-12-12 11:44:00
86,29,27,10292.83,DEBIT,CARD,HEALTHCARE,Doctor Visit,Practo/Local Clinic,2025-06-25 15:06:54,Lucknow,Uttar Pradesh,India,Payment for Doctor Visit at Practo/Local Clinic.,2025-12-12 11:44:01
87,30,28,3690.62,DEBIT,CASH,SHOPPING,Online Shopping,Crossword,2025-08-10 13:42:07,Mumbai,Maharashtra,India,Payment for Online Shopping at Crossword.,2025-12-12 11:44:01
88,31,29,20352.37,DEBIT,NET_BANKING,TRAVEL,Hotel,IRCTC,2025-06-16 02:40:54,Ahmedabad,Gujarat,India,Payment for Hotel at IRCTC.,2025-12-12 11:44:01
89,32,30,43907.72,DEBIT,CASH,EDUCATION,Tuition Fees,Coursera/Udemy,2025-06-18 20:30:46,Pune,Maharashtra,India,Payment for Tuition Fees at Coursera/Udemy.,2025-12-12 11:44:01
90,33,31,45131.63,DEBIT,CARD,FINANCE,Loan EMI,HDFC Bank/SBI,2025-09-02 02:37:37,Lucknow,Uttar Pradesh,India,Payment for Loan EMI at HDFC Bank/SBI.,2025-12-12 11:44:01
91,34,32,8041.44,DEBIT,CARD,HEALTHCARE,Lab Test,Dr. Lal PathLabs,2025-10-18 19:15:15,Mumbai,Maharashtra,India,Payment for Lab Test at Dr. Lal PathLabs.,2025-12-12 11:44:02
92,35,33,2596.12,DEBIT,UPI,FOOD,Restaurant,Reliance Smart,2025-09-15 01:21:55,Hyderabad,Telangana,India,Payment for Restaurant at Reliance Smart.,2025-12-12 11:44:02
93,36,34,384.45,DEBIT,AUTO_DEBIT,TRANSPORT,Toll,Ola/Uber,2025-09-17 19:35:46,Ahmedabad,Gujarat,India,Payment for Toll at Ola/Uber.,2025-12-12 11:44:02
94,37,35,16538.64,DEBIT,CASH,SHOPPING,Electronics,Zara/H&M,2025-10-26 13:46:17,Delhi,Delhi,India,Payment for Electronics at Zara/H&M.,2025-12-12 11:44:02
95,38,36,16743.08,DEBIT,NET_BANKING,HOUSING,Maintenance,BSES/TNEB/MSEDCL,2025-09-15 04:53:13,Pune,Maharashtra,India,Payment for Maintenance at BSES/TNEB/MSEDCL.,2025-12-12 11:44:02
96,39,37,358.59,DEBIT,CARD,TRANSPORT,Toll,Delhi Metro/BMTC,2025-08-01 10:14:14,Kolkata,West Bengal,India,Payment for Toll at Delhi Metro/BMTC.,2025-12-12 11:44:03
97,40,38,12450.48,DEBIT,CARD,HEALTHCARE,Insurance Premium,LIC/HDFC Life,2025-12-08 17:30:26,Hyderabad,Telangana,India,Payment for Insurance Premium at LIC/HDFC Life.,2025-12-12 11:44:03
98,41,39,21557.55,DEBIT,UPI,TRAVEL,Hotel,Indigo/Air India,2025-07-27 10:35:10,Lucknow,Uttar Pradesh,India,Payment for Hotel at Indigo/Air India.,2025-12-12 11:44:03
99,42,40,4665.48,DEBIT,WALLET,SHOPPING,Online Shopping,Crossword,2025-09-27 16:32:48,Ahmedabad,Gujarat,India,Payment for Online Shopping at Crossword.,2025-12-12 11:44:03
100,43,41,3965.86,DEBIT,NET_BANKING,SUBSCRIPTIONS,Software,Microsoft 365,2025-09-24 10:19:54,Kolkata,West Bengal,India,Payment for Software at Microsoft 365.,2025-12-12 11:44:03
101,44,42,1950.41,DEBIT,UPI,TRANSPORT,Fuel,IOCL Pump,2025-10-18 10:48:42,Mumbai,Maharashtra,India,Payment for Fuel at IOCL Pump.,2025-12-12 11:44:04
102,45,43,2355.07,DEBIT,CASH,FOOD,Online Delivery,Zomato/Swiggy,2025-09-23 15:47:33,Delhi,Delhi,India,Payment for Online Delivery at Zomato/Swiggy.,2025-12-12 11:44:04
103,46,44,2090.87,DEBIT,CARD,FOOD,Restaurant,Reliance Smart,2025-06-20 18:31:58,Bengaluru,Karnataka,India,Payment for Restaurant at Reliance Smart.,2025-12-12 11:44:04
104,47,45,4320.12,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Gym Membership,Cult.fit/Anytime Fitness,2025-09-25 09:37:37,Lucknow,Uttar Pradesh,India,Payment for Gym Membership at Cult.fit/Anytime Fitness.,2025-12-12 11:44:04
105,48,46,44453.3,DEBIT,NET_BANKING,FINANCE,Loan EMI,ICICI Bank/Axis Bank,2025-08-01 19:47:05,Pune,Maharashtra,India,Payment for Loan EMI at ICICI Bank/Axis Bank.,2025-12-12 11:44:04
106,49,47,20317.93,DEBIT,CASH,HOUSING,Maintenance,RWA,2025-09-17 07:11:04,Hyderabad,Telangana,India,Payment for Maintenance at RWA.,2025-12-12 11:44:05
107,50,48,2204.09,DEBIT,CARD,SUBSCRIPTIONS,Newspaper,Microsoft 365,2025-07-27 15:47:58,Chennai,Tamil Nadu,India,Payment for Newspaper at Microsoft 365.,2025-12-12 11:44:05
108,51,49,34159.2,DEBIT,UPI,EDUCATION,Tuition Fees,BYJU's/Vedantu,2025-10-17 05:43:40,Jaipur,Rajasthan,India,Payment for Tuition Fees at BYJU's/Vedantu.,2025-12-12 11:44:05
109,52,50,3612.01,DEBIT,WALLET,SHOPPING,Books,Croma/Reliance Digital,2025-11-20 23:25:27,Kolkata,West Bengal,India,Payment for Books at Croma/Reliance Digital.,2025-12-12 11:44:05
110,53,53,1099.7,DEBIT,NET_BANKING,FOOD,Coffee Shop,Starbucks,2025-09-17 02:26:02,Ahmedabad,Gujarat,India,Payment for Coffee Shop at Starbucks.,2025-12-12 11:44:06
111,1,51,25732.32,DEBIT,AUTO_DEBIT,HOUSING,Maintenance,BSES/TNEB/MSEDCL,2025-10-18 01:21:40,Lucknow,Uttar Pradesh,India,Payment for Maintenance at BSES/TNEB/MSEDCL.,2025-12-12 11:44:06
112,2,52,3037.49,DEBIT,CASH,FOOD,Online Delivery,Zomato/Swiggy,2025-07-27 12:47:06,Mumbai,Maharashtra,India,Payment for Online Delivery at Zomato/Swiggy.,2025-12-12 11:44:06
113,3,1,4169.83,DEBIT,CARD,FOOD,Groceries,Reliance Smart,2025-07-24 16:11:37,Delhi,Delhi,India,Payment for Groceries at Reliance Smart.,2025-12-12 11:44:06
114,4,2,1112.42,DEBIT,UPI,TRANSPORT,Fuel,Delhi Metro/BMTC,2025-09-02 21:05:32,Bengaluru,Karnataka,India,Payment for Fuel at Delhi Metro/BMTC.,2025-12-12 11:44:06
115,5,3,2150.94,DEBIT,WALLET,TRANSPORT,Cab,NHAI Toll,2025-07-20 20:00:14,Pune,Maharashtra,India,Payment for Cab at NHAI Toll.,2025-12-12 11:44:07
116,6,4,4660.85,DEBIT,CASH,SUBSCRIPTIONS,Software,Netflix/Hotstar,2025-08-27 21:28:44,Hyderabad,Telangana,India,Payment for Software at Netflix/Hotstar.,2025-12-12 11:44:07
117,7,5,11502.94,DEBIT,NET_BANKING,HEALTHCARE,Insurance Premium,Dr. Lal PathLabs,2025-07-27 00:01:21,Lucknow,Uttar Pradesh,India,Payment for Insurance Premium at Dr. Lal PathLabs.,2025-12-12 11:44:07
118,8,6,2989.47,DEBIT,CARD,SHOPPING,Clothing,Zara/H&M,2025-10-18 17:09:44,Ahmedabad,Gujarat,India,Payment for Clothing at Zara/H&M.,2025-12-12 11:44:07
119,9,7,2145.29,DEBIT,UPI,TRANSPORT,Cab,IOCL Pump,2025-08-11 19:40:47,Jaipur,Rajasthan,India,Payment for Cab at IOCL Pump.,2025-12-12 11:44:07
120,10,8,37974.15,DEBIT,NET_BANKING,EDUCATION,Tuition Fees,Coursera/Udemy,2025-09-17 19:10:07,Kolkata,West Bengal,India,Payment for Tuition Fees at Coursera/Udemy.,2025-12-12 11:44:08
121,11,9,15509.31,DEBIT,CASH,HOUSING,Maintenance,RWA,2025-06-25 15:46:27,Mumbai,Maharashtra,India,Payment for Maintenance at RWA.,2025-12-12 11:44:08
122,12,10,34208.57,DEBIT,AUTO_DEBIT,EDUCATION,Course Material,University Book Store,2025-09-23 04:39:10,Delhi,Delhi,India,Payment for Course Material at University Book Store.,2025-12-12 11:44:08
123,13,11,15049.88,DEBIT,WALLET,TRAVEL,Hotel,Local Travel Agency,2025-07-24 16:33:43,Bengaluru,Karnataka,India,Payment for Hotel at Local Travel Agency.,2025-12-12 11:44:08
124,14,12,34267.89,DEBIT,UPI,HOUSING,Rent,Landlord,2025-07-22 05:43:52,Chennai,Tamil Nadu,India,Payment for Rent at Landlord.,2025-12-12 11:44:08
125,15,13,36940.86,DEBIT,CARD,EDUCATION,Tuition Fees,BYJU's/Vedantu,2025-07-06 17:34:57,Lucknow,Uttar Pradesh,India,Payment for Tuition Fees at BYJU's/Vedantu.,2025-12-12 11:44:09
126,16,14,1243.68,DEBIT,NET_BANKING,FOOD,Coffee Shop,Saravana Bhavan,2025-10-21 02:40:02,Ahmedabad,Gujarat,India,Payment for Coffee Shop at Saravana Bhavan.,2025-12-12 11:44:09
127,17,15,1912.83,DEBIT,UPI,FOOD,Online Delivery,Reliance Smart,2025-09-24 19:22:31,Pune,Maharashtra,India,Payment for Online Delivery at Reliance Smart.,2025-12-12 11:44:09
128,18,16,10825.84,DEBIT,WALLET,SHOPPING,Electronics,Croma/Reliance Digital,2025-08-05 21:05:35,Hyderabad,Telangana,India,Payment for Electronics at Croma/Reliance Digital.,2025-12-12 11:44:09
129,19,17,10304.7,DEBIT,CASH,HEALTHCARE,Lab Test,Apollo Pharmacy,2025-09-11 11:27:16,Kolkata,West Bengal,India,Payment for Lab Test at Apollo Pharmacy.,2025-12-12 11:44:10
130,20,18,2899.69,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Gym Membership,Microsoft 365,2025-07-02 23:44:26,Chennai,Tamil Nadu,India,Payment for Gym Membership at Microsoft 365.,2025-12-12 11:44:10
