"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-05","75","92","60"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-06","79","99","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-07","81","97","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-08","81","95","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-09","80","93","70"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-10","83","97","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-11","83","98","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-12","83","95",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-13","81","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-14","78","88","70"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-15","76","86",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-16","75","86","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-17","75","87","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-18","73","82",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-19","73","83",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-20","73","82","59"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-21","71","84","60"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-22","75","86","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-23","75","85","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-24","77","85","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-25","78","88","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-26","77","87","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-27","78","87","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-28","77","83",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-01","73","82",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-02","70","84","61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-03","73","84","60"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-04","73","83","61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-05","75","85","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-06","76","86","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-07","75","87","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-08","76","86","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-09","74","86","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-10","78","87","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-11","77","85","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-12","76","85","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-13","77","86","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-14","79","87","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-15","80","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-16","81","92","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-17","83","99","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-18","82","90","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-19","82","91","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-20","85","97","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-21","87","98","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-22","83","94","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-23","80","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-24","75","83",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-25","76","85","62"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-26","76","84","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-27","79","86","70"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-28","81","89","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-29","81","90","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-30","80","88","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-03-31","80","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-01","79","89","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-02","81","90","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-03","83","97","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-04","80","88","70"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-05","80","88","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-06","80","86","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-07","81","89","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-08","83","92","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-09","81","92","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-10","81","90","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-11","83","90","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-12","82","91","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-13","82","88","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-14","81","90","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-15","81","89","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-16","81","88","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-17","82","89","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-18","83","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-19","82","89","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-20","82","88","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-21","83","89","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-22","82","89",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-23","83","92","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-24","85","92","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-25","85","92","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-26","84","91","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-27","84","90","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-28","83","91","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-29","85","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-04-30","83","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-01","83","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-02","84","90","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-03","84","92","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-04","85","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-05","85","91","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-06","86","93","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-07","89","97","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-08","88","95","82"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-09","87","92",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-10","87","92","83"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-11","85","90","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-12","85","91","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-13","86","91","82"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-14","86","91","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-15","86","92","82"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-16","87","92","83"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-17","86","92","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-18","87","93","83"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-19","87","93","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-20","88","93","82"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-21","86","94","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-22","87","94","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-23","88","94","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-24","88","94","82"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-25","87","94","83"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-30","79","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-05-31","81","85","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-01","87","91","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-02","85","92","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-03","86","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-04","82","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-05","86","90","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-06","86","90","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-07","86","90","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-08","85","91","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-09","82","87","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-10","85","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-11","86","91","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-12","84","90","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-13","87","92","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-14","87","91","84"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-15","84","88",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-16","80","85","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-17","86","90","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-18","86","90","83"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-19","86","90","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-20","86","90","83"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-21","86","90","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-22","86","90","82"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-23","86","90","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-24","85","90","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-25","83","89",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-26","80","83","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-27","80",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-28","79","81","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-29","80","83","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-06-30","82","84","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-01","84","87","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-02","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-03","83","85","81"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-04","83","88","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-05","83","87","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-06","83","88","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-07","82","88",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-08","79","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-09","80","88",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-10","83","88","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-11","83","88","80"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-12","83","86",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-13","83","88","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-14","84","88","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-15","82","87","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-16","80","84","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-17","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-18","83","86","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-19","80","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-20","80","83","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-21","82","86","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-22","83","86","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-23","82","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-24","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-25","83","88","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-26","83","87","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-27","83","86","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-28","82","86","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-29","82","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-30","82","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-07-31","82","87","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-01","82","85","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-02","82","87","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-03","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-04","80","83","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-05","79","85","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-06","81","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-07","82","87","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-08","80","85","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-09","80","84",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-10","80","85",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-11","79","83","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-12","79","85",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-13","80","83","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-14","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-15","78",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-16","79","81","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-17","80","85","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-18","78","81","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-19","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-20","80","85","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-21","79","81","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-22","79","82",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-23","80","83","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-24","80","85",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-25","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-26","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-27","81","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-28","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-29","82","86","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-30","82","85","79"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-08-31","81","86","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-01","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-02","80","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-03","82","87","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-04","81","88",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-05","78","82","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-06","81","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-07","82","88","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-08","81","86","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-09","82","87","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-10","83","88","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-11","82","87","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-12","82","88","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-13","82","88","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-14","82","88","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-15","80","87","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-16","81","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-17","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-18","81","87","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-19","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-20","80","87","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-21","80","85","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-22","82","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-23","83","88","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-24","76","79",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-25","79","84","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-26","80","85","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-27","82","88","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-28","78","82","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-29","80","86","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-09-30","79","85","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-01","81","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-02","82","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-03","82","87","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-04","81","88","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-05","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-06","83","88","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-07","83","90","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-08","82","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-09","81","87","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-10","80","86","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-11","80","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-12","81","88","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-13","79","88",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-14","80","92","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-15","84","94","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-16","84","95",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-17","82","94","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-18","83","95","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-19","84","95","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-20","83","95","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-21","83","95","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-22","84","95","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-23","85","94","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-24","85","95","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-25","84","93","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-26","81","89",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-27","83","90","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-28","84","93","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-29","85","94","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-30","84","93",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-10-31","84","93","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-01","83","93","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-02","83","94","76"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-03","80","92","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-04","78","91","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-05","79","91","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-06","81","91","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-07","80","89","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-08","79","89",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-09","79","91","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-10","80","91","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-11","79","90","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-12","80","91","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-13","75","90","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-14","80","93","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-15","83","93","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-16","85","94","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-17","85","96","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-18","84","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-19","82","90","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-20","83","91","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-21","80","93","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-22","80","92","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-23","81","94","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-24","83","94","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-25","82","94","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-26","85","94","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-27","85","95","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-28","83","95","75"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-29","83","93","77"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-11-30","81","92","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-01","81","92","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-02","80","92","70"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-03","83","94","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-04","83","95","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-05","84","94","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-06","81","93","74"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-07","81","94","72"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-08","80","92","71"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-09","75","87",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-10","76","89","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-11","82","93","65"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-12","82","93","73"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-13","80","92","70"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-14","77","88",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-15","77","90","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-16","76","87","65"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-17","76","88","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-18","79","89","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-19","79","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-20","75","88","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-21","75","91","62"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-22","77","92","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-23","78","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-24","77","89","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-25","79","90","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-26","79","90","69"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-28","78","90",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-29","77","86","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-30","73","80",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-12-31","68","75",
